# Assembly name:  EquCab2.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA18661
# Submitter:      The Genome Assembly Team
# Date:           2007-10-29
# Synonyms:       equCab2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAWR02
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002305.1
# RefSeq assembly accession: GCF_000002305.2
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000165.1	GCF_000000165.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_7357	unplaced-scaffold	na	na	AAWR02052882.1	=	NW_001874429.1	Primary Assembly	3314	na
scaffold_7358	unplaced-scaffold	na	na	AAWR02052883.1	=	NW_001874430.1	Primary Assembly	3314	na
scaffold_7359	unplaced-scaffold	na	na	AAWR02052884.1	=	NW_001874432.1	Primary Assembly	3314	na
scaffold_7360	unplaced-scaffold	na	na	AAWR02052885.1	=	NW_001874433.1	Primary Assembly	3314	na
scaffold_7361	unplaced-scaffold	na	na	AAWR02052886.1	=	NW_001874434.1	Primary Assembly	3314	na
scaffold_7362	unplaced-scaffold	na	na	AAWR02052887.1	=	NW_001874435.1	Primary Assembly	3314	na
scaffold_7363	unplaced-scaffold	na	na	AAWR02052888.1	=	NW_001874436.1	Primary Assembly	3314	na
scaffold_7364	unplaced-scaffold	na	na	AAWR02052889.1	=	NW_001874437.1	Primary Assembly	3313	na
scaffold_7365	unplaced-scaffold	na	na	AAWR02052890.1	=	NW_001874438.1	Primary Assembly	3313	na
scaffold_7366	unplaced-scaffold	na	na	AAWR02052891.1	=	NW_001874439.1	Primary Assembly	3313	na
scaffold_7367	unplaced-scaffold	na	na	AAWR02052892.1	=	NW_001874440.1	Primary Assembly	3313	na
scaffold_7368	unplaced-scaffold	na	na	AAWR02052893.1	=	NW_001874441.1	Primary Assembly	3313	na
scaffold_7369	unplaced-scaffold	na	na	AAWR02052894.1	=	NW_001874443.1	Primary Assembly	3313	na
scaffold_7370	unplaced-scaffold	na	na	AAWR02052895.1	=	NW_001874444.1	Primary Assembly	3312	na
scaffold_7371	unplaced-scaffold	na	na	AAWR02052896.1	=	NW_001874445.1	Primary Assembly	3312	na
scaffold_7372	unplaced-scaffold	na	na	AAWR02052897.1	=	NW_001874446.1	Primary Assembly	3312	na
scaffold_7373	unplaced-scaffold	na	na	AAWR02052898.1	=	NW_001874447.1	Primary Assembly	3312	na
scaffold_7374	unplaced-scaffold	na	na	AAWR02052899.1	=	NW_001874448.1	Primary Assembly	3312	na
scaffold_7375	unplaced-scaffold	na	na	AAWR02052900.1	=	NW_001874449.1	Primary Assembly	3312	na
scaffold_7376	unplaced-scaffold	na	na	AAWR02052901.1	=	NW_001874450.1	Primary Assembly	3311	na
scaffold_7377	unplaced-scaffold	na	na	AAWR02052902.1	=	NW_001874451.1	Primary Assembly	3311	na
scaffold_7378	unplaced-scaffold	na	na	AAWR02052903.1	=	NW_001874452.1	Primary Assembly	3311	na
scaffold_7380	unplaced-scaffold	na	na	AAWR02052906.1	=	NW_001874455.1	Primary Assembly	3311	na
scaffold_7381	unplaced-scaffold	na	na	AAWR02052907.1	=	NW_001874456.1	Primary Assembly	3310	na
scaffold_7382	unplaced-scaffold	na	na	AAWR02052908.1	=	NW_001874457.1	Primary Assembly	3310	na
scaffold_7383	unplaced-scaffold	na	na	AAWR02052909.1	=	NW_001874458.1	Primary Assembly	3310	na
scaffold_7384	unplaced-scaffold	na	na	AAWR02052910.1	=	NW_001874459.1	Primary Assembly	3310	na
scaffold_7385	unplaced-scaffold	na	na	AAWR02052911.1	=	NW_001874460.1	Primary Assembly	3310	na
scaffold_7386	unplaced-scaffold	na	na	AAWR02052912.1	=	NW_001874461.1	Primary Assembly	3310	na
scaffold_7388	unplaced-scaffold	na	na	AAWR02052915.1	=	NW_001874463.1	Primary Assembly	3310	na
scaffold_7389	unplaced-scaffold	na	na	AAWR02052916.1	=	NW_001874465.1	Primary Assembly	3308	na
scaffold_7390	unplaced-scaffold	na	na	AAWR02052917.1	=	NW_001874466.1	Primary Assembly	3308	na
scaffold_7391	unplaced-scaffold	na	na	AAWR02052918.1	=	NW_001874467.1	Primary Assembly	3308	na
scaffold_7392	unplaced-scaffold	na	na	AAWR02052919.1	=	NW_001874468.1	Primary Assembly	3308	na
scaffold_7393	unplaced-scaffold	na	na	AAWR02052920.1	=	NW_001874469.1	Primary Assembly	3308	na
scaffold_7394	unplaced-scaffold	na	na	AAWR02052921.1	=	NW_001874470.1	Primary Assembly	3308	na
scaffold_7395	unplaced-scaffold	na	na	AAWR02052922.1	=	NW_001874471.1	Primary Assembly	3308	na
scaffold_7396	unplaced-scaffold	na	na	AAWR02052923.1	=	NW_001874472.1	Primary Assembly	3308	na
scaffold_7397	unplaced-scaffold	na	na	AAWR02052924.1	=	NW_001874473.1	Primary Assembly	3308	na
scaffold_7398	unplaced-scaffold	na	na	AAWR02052925.1	=	NW_001874474.1	Primary Assembly	3307	na
scaffold_7399	unplaced-scaffold	na	na	AAWR02052926.1	=	NW_001874476.1	Primary Assembly	3307	na
scaffold_7400	unplaced-scaffold	na	na	AAWR02052927.1	=	NW_001874477.1	Primary Assembly	3307	na
scaffold_7401	unplaced-scaffold	na	na	AAWR02052928.1	=	NW_001874478.1	Primary Assembly	3307	na
scaffold_7402	unplaced-scaffold	na	na	AAWR02052929.1	=	NW_001874479.1	Primary Assembly	3306	na
scaffold_7403	unplaced-scaffold	na	na	AAWR02052930.1	=	NW_001874480.1	Primary Assembly	3306	na
scaffold_7404	unplaced-scaffold	na	na	AAWR02052931.1	=	NW_001874481.1	Primary Assembly	3306	na
scaffold_7405	unplaced-scaffold	na	na	AAWR02052932.1	=	NW_001874482.1	Primary Assembly	3306	na
scaffold_7406	unplaced-scaffold	na	na	AAWR02052933.1	=	NW_001874483.1	Primary Assembly	3306	na
scaffold_7407	unplaced-scaffold	na	na	AAWR02052934.1	=	NW_001874484.1	Primary Assembly	3306	na
scaffold_7408	unplaced-scaffold	na	na	AAWR02052935.1	=	NW_001874485.1	Primary Assembly	3306	na
scaffold_7410	unplaced-scaffold	na	na	AAWR02052938.1	=	NW_001874488.1	Primary Assembly	3305	na
scaffold_7411	unplaced-scaffold	na	na	AAWR02052939.1	=	NW_001874489.1	Primary Assembly	3305	na
scaffold_7413	unplaced-scaffold	na	na	AAWR02052942.1	=	NW_001874491.1	Primary Assembly	3305	na
scaffold_7414	unplaced-scaffold	na	na	AAWR02052943.1	=	NW_001874492.1	Primary Assembly	3304	na
scaffold_7415	unplaced-scaffold	na	na	AAWR02052944.1	=	NW_001874493.1	Primary Assembly	3304	na
scaffold_7416	unplaced-scaffold	na	na	AAWR02052945.1	=	NW_001874494.1	Primary Assembly	3304	na
scaffold_7417	unplaced-scaffold	na	na	AAWR02052946.1	=	NW_001874495.1	Primary Assembly	3303	na
scaffold_7418	unplaced-scaffold	na	na	AAWR02052947.1	=	NW_001874496.1	Primary Assembly	3303	na
scaffold_7419	unplaced-scaffold	na	na	AAWR02052948.1	=	NW_001874498.1	Primary Assembly	3303	na
scaffold_7420	unplaced-scaffold	na	na	AAWR02052949.1	=	NW_001874499.1	Primary Assembly	3302	na
scaffold_7421	unplaced-scaffold	na	na	AAWR02052950.1	=	NW_001874500.1	Primary Assembly	3302	na
scaffold_7423	unplaced-scaffold	na	na	AAWR02052953.1	=	NW_001874502.1	Primary Assembly	3302	na
scaffold_7424	unplaced-scaffold	na	na	AAWR02052954.1	=	NW_001874503.1	Primary Assembly	3302	na
scaffold_7425	unplaced-scaffold	na	na	AAWR02052955.1	=	NW_001874504.1	Primary Assembly	3302	na
scaffold_7426	unplaced-scaffold	na	na	AAWR02052956.1	=	NW_001874505.1	Primary Assembly	3301	na
scaffold_7427	unplaced-scaffold	na	na	AAWR02052957.1	=	NW_001874506.1	Primary Assembly	3301	na
scaffold_7428	unplaced-scaffold	na	na	AAWR02052958.1	=	NW_001874507.1	Primary Assembly	3301	na
scaffold_7429	unplaced-scaffold	na	na	AAWR02052959.1	=	NW_001874509.1	Primary Assembly	3301	na
scaffold_7430	unplaced-scaffold	na	na	AAWR02052960.1	=	NW_001874510.1	Primary Assembly	3301	na
scaffold_7431	unplaced-scaffold	na	na	AAWR02052961.1	=	NW_001874511.1	Primary Assembly	3300	na
scaffold_7432	unplaced-scaffold	na	na	AAWR02052962.1	=	NW_001874512.1	Primary Assembly	3300	na
scaffold_7433	unplaced-scaffold	na	na	AAWR02052963.1	=	NW_001874513.1	Primary Assembly	3300	na
scaffold_7434	unplaced-scaffold	na	na	AAWR02052964.1	=	NW_001874514.1	Primary Assembly	3300	na
scaffold_7435	unplaced-scaffold	na	na	AAWR02052965.1	=	NW_001874515.1	Primary Assembly	3300	na
scaffold_7436	unplaced-scaffold	na	na	AAWR02052966.1	=	NW_001874516.1	Primary Assembly	3300	na
scaffold_7437	unplaced-scaffold	na	na	AAWR02052967.1	=	NW_001874517.1	Primary Assembly	3300	na
scaffold_7438	unplaced-scaffold	na	na	AAWR02052968.1	=	NW_001874518.1	Primary Assembly	3300	na
scaffold_7439	unplaced-scaffold	na	na	AAWR02052969.1	=	NW_001874520.1	Primary Assembly	3299	na
scaffold_7440	unplaced-scaffold	na	na	AAWR02052970.1	=	NW_001874521.1	Primary Assembly	3299	na
scaffold_7441	unplaced-scaffold	na	na	AAWR02052971.1	=	NW_001874522.1	Primary Assembly	3299	na
scaffold_7442	unplaced-scaffold	na	na	AAWR02052972.1	=	NW_001874523.1	Primary Assembly	3298	na
scaffold_7443	unplaced-scaffold	na	na	AAWR02052973.1	=	NW_001874524.1	Primary Assembly	3298	na
scaffold_7444	unplaced-scaffold	na	na	AAWR02052974.1	=	NW_001874525.1	Primary Assembly	3298	na
scaffold_7445	unplaced-scaffold	na	na	AAWR02052975.1	=	NW_001874526.1	Primary Assembly	3298	na
scaffold_7446	unplaced-scaffold	na	na	AAWR02052976.1	=	NW_001874527.1	Primary Assembly	3298	na
scaffold_7447	unplaced-scaffold	na	na	AAWR02052977.1	=	NW_001874528.1	Primary Assembly	3298	na
scaffold_7448	unplaced-scaffold	na	na	AAWR02052978.1	=	NW_001874529.1	Primary Assembly	3298	na
scaffold_7449	unplaced-scaffold	na	na	AAWR02052979.1	=	NW_001874531.1	Primary Assembly	3298	na
scaffold_7450	unplaced-scaffold	na	na	AAWR02052980.1	=	NW_001874532.1	Primary Assembly	3297	na
scaffold_7452	unplaced-scaffold	na	na	AAWR02052983.1	=	NW_001874534.1	Primary Assembly	3297	na
scaffold_7453	unplaced-scaffold	na	na	AAWR02052984.1	=	NW_001874535.1	Primary Assembly	3297	na
scaffold_7454	unplaced-scaffold	na	na	AAWR02052985.1	=	NW_001874536.1	Primary Assembly	3297	na
scaffold_7455	unplaced-scaffold	na	na	AAWR02052986.1	=	NW_001874537.1	Primary Assembly	3297	na
scaffold_7456	unplaced-scaffold	na	na	AAWR02052987.1	=	NW_001874538.1	Primary Assembly	3297	na
scaffold_7457	unplaced-scaffold	na	na	AAWR02052988.1	=	NW_001874539.1	Primary Assembly	3297	na
scaffold_7459	unplaced-scaffold	na	na	AAWR02052991.1	=	NW_001874542.1	Primary Assembly	3296	na
scaffold_7460	unplaced-scaffold	na	na	AAWR02052992.1	=	NW_001874543.1	Primary Assembly	3296	na
scaffold_7461	unplaced-scaffold	na	na	AAWR02052993.1	=	NW_001874544.1	Primary Assembly	3296	na
scaffold_7462	unplaced-scaffold	na	na	AAWR02052994.1	=	NW_001874545.1	Primary Assembly	3296	na
scaffold_7463	unplaced-scaffold	na	na	AAWR02052995.1	=	NW_001874546.1	Primary Assembly	3296	na
scaffold_7464	unplaced-scaffold	na	na	AAWR02052996.1	=	NW_001874547.1	Primary Assembly	3295	na
scaffold_7465	unplaced-scaffold	na	na	AAWR02052997.1	=	NW_001874548.1	Primary Assembly	3295	na
scaffold_7466	unplaced-scaffold	na	na	AAWR02052998.1	=	NW_001874549.1	Primary Assembly	3295	na
scaffold_7467	unplaced-scaffold	na	na	AAWR02052999.1	=	NW_001874550.1	Primary Assembly	3295	na
scaffold_7468	unplaced-scaffold	na	na	AAWR02053000.1	=	NW_001874551.1	Primary Assembly	3295	na
scaffold_7469	unplaced-scaffold	na	na	AAWR02053001.1	=	NW_001874553.1	Primary Assembly	3295	na
scaffold_7471	unplaced-scaffold	na	na	AAWR02053004.1	=	NW_001874555.1	Primary Assembly	3294	na
scaffold_7473	unplaced-scaffold	na	na	AAWR02053007.1	=	NW_001874557.1	Primary Assembly	3294	na
scaffold_7474	unplaced-scaffold	na	na	AAWR02053008.1	=	NW_001874558.1	Primary Assembly	3294	na
scaffold_7475	unplaced-scaffold	na	na	AAWR02053009.1	=	NW_001874559.1	Primary Assembly	3294	na
scaffold_7476	unplaced-scaffold	na	na	AAWR02053010.1	=	NW_001874560.1	Primary Assembly	3294	na
scaffold_7478	unplaced-scaffold	na	na	AAWR02053013.1	=	NW_001874562.1	Primary Assembly	3293	na
scaffold_7479	unplaced-scaffold	na	na	AAWR02053014.1	=	NW_001874564.1	Primary Assembly	3293	na
scaffold_7480	unplaced-scaffold	na	na	AAWR02053015.1	=	NW_001874565.1	Primary Assembly	3293	na
scaffold_7481	unplaced-scaffold	na	na	AAWR02053016.1	=	NW_001874566.1	Primary Assembly	3293	na
scaffold_7482	unplaced-scaffold	na	na	AAWR02053017.1	=	NW_001874567.1	Primary Assembly	3293	na
scaffold_7483	unplaced-scaffold	na	na	AAWR02053018.1	=	NW_001874568.1	Primary Assembly	3293	na
scaffold_7484	unplaced-scaffold	na	na	AAWR02053019.1	=	NW_001874569.1	Primary Assembly	3292	na
scaffold_7485	unplaced-scaffold	na	na	AAWR02053020.1	=	NW_001874570.1	Primary Assembly	3292	na
scaffold_7486	unplaced-scaffold	na	na	AAWR02053021.1	=	NW_001874571.1	Primary Assembly	3292	na
scaffold_7487	unplaced-scaffold	na	na	AAWR02053022.1	=	NW_001874572.1	Primary Assembly	3292	na
scaffold_7488	unplaced-scaffold	na	na	AAWR02053023.1	=	NW_001874573.1	Primary Assembly	3292	na
scaffold_7489	unplaced-scaffold	na	na	AAWR02053024.1	=	NW_001874575.1	Primary Assembly	3292	na
scaffold_7490	unplaced-scaffold	na	na	AAWR02053025.1	=	NW_001874576.1	Primary Assembly	3291	na
scaffold_7491	unplaced-scaffold	na	na	AAWR02053026.1	=	NW_001874577.1	Primary Assembly	3291	na
scaffold_7492	unplaced-scaffold	na	na	AAWR02053027.1	=	NW_001874578.1	Primary Assembly	3291	na
scaffold_7493	unplaced-scaffold	na	na	AAWR02053028.1	=	NW_001874579.1	Primary Assembly	3291	na
scaffold_7494	unplaced-scaffold	na	na	AAWR02053029.1	=	NW_001874580.1	Primary Assembly	3291	na
scaffold_7495	unplaced-scaffold	na	na	AAWR02053030.1	=	NW_001874581.1	Primary Assembly	3291	na
scaffold_7496	unplaced-scaffold	na	na	AAWR02053031.1	=	NW_001874582.1	Primary Assembly	3290	na
scaffold_7497	unplaced-scaffold	na	na	AAWR02053032.1	=	NW_001874583.1	Primary Assembly	3290	na
scaffold_7498	unplaced-scaffold	na	na	AAWR02053033.1	=	NW_001874584.1	Primary Assembly	3290	na
scaffold_7499	unplaced-scaffold	na	na	AAWR02053034.1	=	NW_001874586.1	Primary Assembly	3290	na
scaffold_7500	unplaced-scaffold	na	na	AAWR02053035.1	=	NW_001874587.1	Primary Assembly	3290	na
scaffold_7501	unplaced-scaffold	na	na	AAWR02053036.1	=	NW_001874588.1	Primary Assembly	3290	na
scaffold_7502	unplaced-scaffold	na	na	AAWR02053037.1	=	NW_001874589.1	Primary Assembly	3289	na
scaffold_7503	unplaced-scaffold	na	na	AAWR02053038.1	=	NW_001874590.1	Primary Assembly	3289	na
scaffold_7504	unplaced-scaffold	na	na	AAWR02053039.1	=	NW_001874591.1	Primary Assembly	3288	na
scaffold_7505	unplaced-scaffold	na	na	AAWR02053040.1	=	NW_001874592.1	Primary Assembly	3288	na
scaffold_7506	unplaced-scaffold	na	na	AAWR02053041.1	=	NW_001874593.1	Primary Assembly	3288	na
scaffold_7507	unplaced-scaffold	na	na	AAWR02053042.1	=	NW_001874594.1	Primary Assembly	3288	na
scaffold_7508	unplaced-scaffold	na	na	AAWR02053043.1	=	NW_001874595.1	Primary Assembly	3288	na
scaffold_7509	unplaced-scaffold	na	na	AAWR02053044.1	=	NW_001874597.1	Primary Assembly	3288	na
scaffold_7510	unplaced-scaffold	na	na	AAWR02053045.1	=	NW_001874598.1	Primary Assembly	3287	na
scaffold_7511	unplaced-scaffold	na	na	AAWR02053046.1	=	NW_001874599.1	Primary Assembly	3287	na
scaffold_7512	unplaced-scaffold	na	na	AAWR02053047.1	=	NW_001874600.1	Primary Assembly	3287	na
scaffold_7513	unplaced-scaffold	na	na	AAWR02053048.1	=	NW_001874601.1	Primary Assembly	3287	na
scaffold_7514	unplaced-scaffold	na	na	AAWR02053049.1	=	NW_001874602.1	Primary Assembly	3286	na
scaffold_7515	unplaced-scaffold	na	na	AAWR02053050.1	=	NW_001874603.1	Primary Assembly	3286	na
scaffold_7516	unplaced-scaffold	na	na	AAWR02053051.1	=	NW_001874604.1	Primary Assembly	3286	na
scaffold_7517	unplaced-scaffold	na	na	AAWR02053052.1	=	NW_001874605.1	Primary Assembly	3286	na
scaffold_7518	unplaced-scaffold	na	na	AAWR02053053.1	=	NW_001874606.1	Primary Assembly	3286	na
scaffold_7519	unplaced-scaffold	na	na	AAWR02053054.1	=	NW_001874608.1	Primary Assembly	3286	na
scaffold_7520	unplaced-scaffold	na	na	AAWR02053055.1	=	NW_001874609.1	Primary Assembly	3285	na
scaffold_7521	unplaced-scaffold	na	na	AAWR02053056.1	=	NW_001874610.1	Primary Assembly	3285	na
scaffold_7522	unplaced-scaffold	na	na	AAWR02053057.1	=	NW_001874611.1	Primary Assembly	3285	na
scaffold_7523	unplaced-scaffold	na	na	AAWR02053058.1	=	NW_001874612.1	Primary Assembly	3285	na
scaffold_7524	unplaced-scaffold	na	na	AAWR02053059.1	=	NW_001874613.1	Primary Assembly	3285	na
scaffold_7525	unplaced-scaffold	na	na	AAWR02053060.1	=	NW_001874614.1	Primary Assembly	3285	na
scaffold_7526	unplaced-scaffold	na	na	AAWR02053061.1	=	NW_001874615.1	Primary Assembly	3285	na
scaffold_7527	unplaced-scaffold	na	na	AAWR02053062.1	=	NW_001874616.1	Primary Assembly	3285	na
scaffold_7528	unplaced-scaffold	na	na	AAWR02053063.1	=	NW_001874617.1	Primary Assembly	3285	na
scaffold_7529	unplaced-scaffold	na	na	AAWR02053064.1	=	NW_001874619.1	Primary Assembly	3285	na
scaffold_7530	unplaced-scaffold	na	na	AAWR02053065.1	=	NW_001874620.1	Primary Assembly	3285	na
scaffold_7531	unplaced-scaffold	na	na	AAWR02053066.1	=	NW_001874621.1	Primary Assembly	3285	na
scaffold_7532	unplaced-scaffold	na	na	AAWR02053067.1	=	NW_001874622.1	Primary Assembly	3285	na
scaffold_7533	unplaced-scaffold	na	na	AAWR02053068.1	=	NW_001874623.1	Primary Assembly	3285	na
scaffold_7534	unplaced-scaffold	na	na	AAWR02053069.1	=	NW_001874624.1	Primary Assembly	3285	na
scaffold_7535	unplaced-scaffold	na	na	AAWR02053070.1	=	NW_001874625.1	Primary Assembly	3285	na
scaffold_7536	unplaced-scaffold	na	na	AAWR02053071.1	=	NW_001874626.1	Primary Assembly	3284	na
scaffold_7537	unplaced-scaffold	na	na	AAWR02053072.1	=	NW_001874627.1	Primary Assembly	3284	na
scaffold_7538	unplaced-scaffold	na	na	AAWR02053073.1	=	NW_001874628.1	Primary Assembly	3284	na
scaffold_7539	unplaced-scaffold	na	na	AAWR02053074.1	=	NW_001874630.1	Primary Assembly	3284	na
scaffold_7540	unplaced-scaffold	na	na	AAWR02053075.1	=	NW_001874631.1	Primary Assembly	3284	na
scaffold_7541	unplaced-scaffold	na	na	AAWR02053076.1	=	NW_001874632.1	Primary Assembly	3284	na
scaffold_7542	unplaced-scaffold	na	na	AAWR02053077.1	=	NW_001874633.1	Primary Assembly	3283	na
scaffold_7543	unplaced-scaffold	na	na	AAWR02053078.1	=	NW_001874634.1	Primary Assembly	3283	na
scaffold_7544	unplaced-scaffold	na	na	AAWR02053079.1	=	NW_001874635.1	Primary Assembly	3283	na
scaffold_7545	unplaced-scaffold	na	na	AAWR02053080.1	=	NW_001874636.1	Primary Assembly	3283	na
scaffold_7546	unplaced-scaffold	na	na	AAWR02053081.1	=	NW_001874637.1	Primary Assembly	3283	na
scaffold_7547	unplaced-scaffold	na	na	AAWR02053082.1	=	NW_001874638.1	Primary Assembly	3283	na
scaffold_7548	unplaced-scaffold	na	na	AAWR02053083.1	=	NW_001874639.1	Primary Assembly	3283	na
scaffold_7549	unplaced-scaffold	na	na	AAWR02053084.1	=	NW_001874641.1	Primary Assembly	3283	na
scaffold_7550	unplaced-scaffold	na	na	AAWR02053085.1	=	NW_001874642.1	Primary Assembly	3282	na
scaffold_7551	unplaced-scaffold	na	na	AAWR02053086.1	=	NW_001874643.1	Primary Assembly	3282	na
scaffold_7552	unplaced-scaffold	na	na	AAWR02053087.1	=	NW_001874644.1	Primary Assembly	3282	na
scaffold_7553	unplaced-scaffold	na	na	AAWR02053088.1	=	NW_001874645.1	Primary Assembly	3282	na
scaffold_7554	unplaced-scaffold	na	na	AAWR02053089.1	=	NW_001874646.1	Primary Assembly	3282	na
scaffold_7555	unplaced-scaffold	na	na	AAWR02053090.1	=	NW_001874647.1	Primary Assembly	3281	na
scaffold_7556	unplaced-scaffold	na	na	AAWR02053091.1	=	NW_001874648.1	Primary Assembly	3281	na
scaffold_7557	unplaced-scaffold	na	na	AAWR02053092.1	=	NW_001874649.1	Primary Assembly	3281	na
scaffold_7558	unplaced-scaffold	na	na	AAWR02053093.1	=	NW_001874650.1	Primary Assembly	3281	na
scaffold_7559	unplaced-scaffold	na	na	AAWR02053094.1	=	NW_001874652.1	Primary Assembly	3281	na
scaffold_7560	unplaced-scaffold	na	na	AAWR02053095.1	=	NW_001874653.1	Primary Assembly	3280	na
scaffold_7561	unplaced-scaffold	na	na	AAWR02053096.1	=	NW_001874654.1	Primary Assembly	3280	na
scaffold_7562	unplaced-scaffold	na	na	AAWR02053097.1	=	NW_001874655.1	Primary Assembly	3280	na
scaffold_7563	unplaced-scaffold	na	na	AAWR02053098.1	=	NW_001874656.1	Primary Assembly	3280	na
scaffold_7564	unplaced-scaffold	na	na	AAWR02053099.1	=	NW_001874657.1	Primary Assembly	3280	na
scaffold_7565	unplaced-scaffold	na	na	AAWR02053100.1	=	NW_001874658.1	Primary Assembly	3280	na
scaffold_7566	unplaced-scaffold	na	na	AAWR02053101.1	=	NW_001874659.1	Primary Assembly	3279	na
scaffold_7567	unplaced-scaffold	na	na	AAWR02053102.1	=	NW_001874660.1	Primary Assembly	3279	na
scaffold_7568	unplaced-scaffold	na	na	AAWR02053103.1	=	NW_001874661.1	Primary Assembly	3279	na
scaffold_7569	unplaced-scaffold	na	na	AAWR02053104.1	=	NW_001874663.1	Primary Assembly	3279	na
scaffold_7570	unplaced-scaffold	na	na	AAWR02053105.1	=	NW_001874664.1	Primary Assembly	3279	na
scaffold_7571	unplaced-scaffold	na	na	AAWR02053106.1	=	NW_001874665.1	Primary Assembly	3278	na
scaffold_7572	unplaced-scaffold	na	na	AAWR02053107.1	=	NW_001874666.1	Primary Assembly	3278	na
scaffold_7573	unplaced-scaffold	na	na	AAWR02053108.1	=	NW_001874667.1	Primary Assembly	3278	na
scaffold_7574	unplaced-scaffold	na	na	AAWR02053109.1	=	NW_001874668.1	Primary Assembly	3278	na
scaffold_7575	unplaced-scaffold	na	na	AAWR02053110.1	=	NW_001874669.1	Primary Assembly	3278	na
scaffold_7576	unplaced-scaffold	na	na	AAWR02053111.1	=	NW_001874670.1	Primary Assembly	3278	na
scaffold_7577	unplaced-scaffold	na	na	AAWR02053112.1	=	NW_001874671.1	Primary Assembly	3277	na
scaffold_7578	unplaced-scaffold	na	na	AAWR02053113.1	=	NW_001874672.1	Primary Assembly	3277	na
scaffold_7579	unplaced-scaffold	na	na	AAWR02053114.1	=	NW_001874674.1	Primary Assembly	3277	na
scaffold_7580	unplaced-scaffold	na	na	AAWR02053115.1	=	NW_001874675.1	Primary Assembly	3277	na
scaffold_7581	unplaced-scaffold	na	na	AAWR02053116.1	=	NW_001874676.1	Primary Assembly	3277	na
scaffold_7582	unplaced-scaffold	na	na	AAWR02053117.1	=	NW_001874677.1	Primary Assembly	3277	na
scaffold_7583	unplaced-scaffold	na	na	AAWR02053118.1	=	NW_001874678.1	Primary Assembly	3276	na
scaffold_7584	unplaced-scaffold	na	na	AAWR02053119.1	=	NW_001874679.1	Primary Assembly	3276	na
scaffold_7585	unplaced-scaffold	na	na	AAWR02053120.1	=	NW_001874680.1	Primary Assembly	3276	na
scaffold_7586	unplaced-scaffold	na	na	AAWR02053121.1	=	NW_001874681.1	Primary Assembly	3276	na
scaffold_7587	unplaced-scaffold	na	na	AAWR02053122.1	=	NW_001874682.1	Primary Assembly	3276	na
scaffold_7588	unplaced-scaffold	na	na	AAWR02053123.1	=	NW_001874683.1	Primary Assembly	3276	na
scaffold_7589	unplaced-scaffold	na	na	AAWR02053124.1	=	NW_001874685.1	Primary Assembly	3276	na
scaffold_7590	unplaced-scaffold	na	na	AAWR02053125.1	=	NW_001874686.1	Primary Assembly	3275	na
scaffold_7591	unplaced-scaffold	na	na	AAWR02053126.1	=	NW_001874687.1	Primary Assembly	3275	na
scaffold_7592	unplaced-scaffold	na	na	AAWR02053127.1	=	NW_001874688.1	Primary Assembly	3275	na
scaffold_7594	unplaced-scaffold	na	na	AAWR02053130.1	=	NW_001874690.1	Primary Assembly	3275	na
scaffold_7595	unplaced-scaffold	na	na	AAWR02053131.1	=	NW_001874691.1	Primary Assembly	3275	na
scaffold_7596	unplaced-scaffold	na	na	AAWR02053132.1	=	NW_001874692.1	Primary Assembly	3275	na
scaffold_7597	unplaced-scaffold	na	na	AAWR02053133.1	=	NW_001874693.1	Primary Assembly	3275	na
scaffold_7598	unplaced-scaffold	na	na	AAWR02053134.1	=	NW_001874694.1	Primary Assembly	3274	na
scaffold_7599	unplaced-scaffold	na	na	AAWR02053135.1	=	NW_001874696.1	Primary Assembly	3274	na
scaffold_7600	unplaced-scaffold	na	na	AAWR02053136.1	=	NW_001874697.1	Primary Assembly	3274	na
scaffold_7601	unplaced-scaffold	na	na	AAWR02053137.1	=	NW_001874698.1	Primary Assembly	3274	na
scaffold_7602	unplaced-scaffold	na	na	AAWR02053138.1	=	NW_001874699.1	Primary Assembly	3274	na
scaffold_7603	unplaced-scaffold	na	na	AAWR02053139.1	=	NW_001874700.1	Primary Assembly	3274	na
scaffold_7604	unplaced-scaffold	na	na	AAWR02053140.1	=	NW_001874701.1	Primary Assembly	3274	na
scaffold_7605	unplaced-scaffold	na	na	AAWR02053141.1	=	NW_001874702.1	Primary Assembly	3274	na
scaffold_7606	unplaced-scaffold	na	na	AAWR02053142.1	=	NW_001874703.1	Primary Assembly	3274	na
